Name,Category,Region,County,Facility,Availability,Facility.URL,Golf.URL,Nature.Center.URL,Longitude,Latitude,Location
Amherst,State Park,1,Erie,Golf,Not Available,,,,-78.74808818,42.97100087,"(42.97100087300, -78.74808818390)"
Beaver Island,State Park,1,Erie,Golf,Available,http://nysparks.com/parks/56/details.aspx,http://nysparks.com/golf-courses/4/details.aspx,http://www.nysparks.com/environment/nature-centers/11/details.aspx,-78.95310636,42.96576594,"(42.96576593970, -78.95310636330)"
Big Six Mile Creek Marina,Marine Facility,1,Erie,Golf,Not Available,http://nysparks.com/parks/50/details.aspx,,,-79.0109877,43.02319516,"(43.02319515750, -79.01098770030)"
Buckhorn Island,State Park,1,Erie,Golf,Not Available,http://nysparks.com/parks/174/details.aspx,,,-78.98074732,43.05851648,"(43.05851647910, -78.98074732480)"
Darwin Martin House,State Historic Site,1,Erie,Golf,Available,http://nysparks.com/historic-sites/35/details.aspx,,,-78.8480452,42.93609209,"(42.93609208890, -78.84804520450)"
DeVeaux Woods,State Park,1,Erie,Golf,Not Available,http://nysparks.com/parks/11/details.aspx,,,-79.05874318,43.1194168,"(43.11941679870, -79.05874317650)"
Devil's Hole,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/42/details.aspx,,,-79.0459607,43.13463185,"(43.13463185450, -79.04596070110)"
Earl W. Brydges Artpark,State Park,1,Niagara,Golf,Available,http://nysparks.com/parks/113/details.aspx,,,-79.04192821,43.16561822,"(43.16561822460, -79.04192820690)"
Evangola,State Park,1,Erie,Golf,Not Available,http://nysparks.com/parks/91/details.aspx,,,-79.10185926,42.60579936,"(42.60579935850, -79.10185925780)"
Fort Niagara,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/175/details.aspx,,,-79.05258585,43.26163494,"(43.26163493740, -79.05258585060)"
Four Mile Creek,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/6/details.aspx,,,-78.99746851,43.27437645,"(43.27437644850, -78.99746851150)"
Golden Hill,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/143/details.aspx,,,-78.48015886,43.36946168,"(43.36946167910, -78.48015885640)"
Joseph Davis,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/45/details.aspx,,,-79.03992446,43.21412115,"(43.21412114900, -79.03992445770)"
Knox Farm,State Park,1,Erie,Golf,Available,http://nysparks.com/parks/163/details.aspx,,,-78.64774994,42.77386727,"(42.77386726570, -78.64774993590)"
Niagara Falls,State Park,1,Niagara,Golf,Available,http://nysparks.com/parks/46/details.aspx,,,-79.06701953,43.0867482,"(43.08674820210, -79.06701953470)"
Old Fort Niagara,State Historic Site,1,Niagara,Golf,Not Available,http://nysparks.com/historic-sites/31/details.aspx,,,-79.06311435,43.26259391,"(43.26259391080, -79.06311434890)"
Reservoir,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/75/details.aspx,,,-79.01503815,43.13401154,"(43.13401154410, -79.01503814730)"
Strawberry Island,Other,1,Erie,Golf,Available,,,,-78.92249742,42.95394906,"(42.95394905960, -78.92249742120)"
Whirlpool,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/105/details.aspx,,,-79.06341797,43.12040048,"(43.12040047670, -79.06341796780)"
Wilson-Tuscarora,State Park,1,Niagara,Golf,Not Available,http://nysparks.com/parks/69/details.aspx,,,-78.85560888,43.30377729,"(43.30377729260, -78.85560888360)"
Woodlawn Beach,State Park,1,Erie,Golf,Not Available,http://nysparks.com/parks/47/details.aspx,,http://www.nysparks.com/environment/nature-centers/10/details.aspx,-78.85220785,42.7938189,"(42.79381890080, -78.85220784890)"
Allegany,State Park,2,Cattaraugus,Golf,Not Available,http://nysparks.com/parks/136/details.aspx,,http://www.nysparks.com/environment/nature-centers/12/details.aspx,-78.76855865,42.05475752,"(42.05475752110, -78.76855864730)"
Lake Erie,State Park,2,Chautauqua,Golf,Not Available,http://nysparks.com/parks/129/details.aspx,,,-79.43141787,42.42289079,"(42.42289078970, -79.43141787300)"
Long Point,State Park,2,Chautauqua,Golf,Available,http://nysparks.com/parks/109/details.aspx,,,-79.4109114,42.17876065,"(42.17876065240, -79.41091140450)"
Midway,State Park,2,Chautauqua,Golf,Not Available,http://nysparks.com/parks/167/details.aspx,,,-79.4224274,42.20087248,"(42.20087248010, -79.42242740360)"
Braddock Bay,State Park,3,Monroe,Golf,Available,,,,-77.70386572,43.29419545,"(43.29419545260, -77.70386571640)"
Canal Park Lock 32,Other,3,Monroe,Golf,Not Available,,,,-77.54634101,43.09255115,"(43.09255115210, -77.54634100980)"
Conesus Lake Marine Park,Marine Facility,3,Livingston,Golf,Available,http://nysparks.com/parks/71/details.aspx,,,-77.7116005,42.77580615,"(42.77580615110, -77.71160049680)"
Darien Lakes,State Park,3,Genesee,Golf,Not Available,http://nysparks.com/parks/144/details.aspx,,,-78.4114923,42.91181416,"(42.91181415730, -78.41149229790)"
Genesee River,Other,3,Monroe,Golf,Available,,,,-77.61431271,43.23058471,"(43.23058470660, -77.61431270980)"
Hamlin Beach,State Park,3,Monroe,Golf,Not Available,http://nysparks.com/parks/20/details.aspx,,,-77.95509767,43.3600913,"(43.36009130140, -77.95509767050)"
Irondequoit Bay Marine Park,Marine Facility,3,Monroe,Golf,Not Available,http://nysparks.com/parks/100/details.aspx,,,-77.53971069,43.23186953,"(43.23186953420, -77.53971068810)"
Lakeside Beach,State Park,3,Orleans,Golf,Available,http://nysparks.com/parks/161/details.aspx,,,-78.24370249,43.36638358,"(43.36638358220, -78.24370248780)"
Letchworth,State Park,3,Liv/Wyo,Golf,Available,http://nysparks.com/parks/79/details.aspx,,,-77.97576922,42.64592135,"(42.64592134880, -77.97576922360)"
Oak Orchard Marine Park,Marine Facility,3,Orleans,Golf,Not Available,http://nysparks.com/parks/131/details.aspx,,,-78.20101906,43.36810547,"(43.36810546950, -78.20101905880)"
Silver Lake,State Park,3,Wyoming,Golf,Not Available,http://nysparks.com/parks/104/details.aspx,,,-78.05656098,42.67925422,"(42.67925421890, -78.05656097830)"
Allan H. Treman,Marine Facility,4,Tompkins,Golf,Not Available,http://nysparks.com/parks/35/details.aspx,,,-76.51756817,42.46139668,"(42.46139668170, -76.51756817400)"
Beechwood,State Park,4,Wayne,Golf,Not Available,,,,-77.0337933,43.26669446,"(43.26669445500, -77.03379330370)"
Bonavista,State Park,4,Seneca,Golf,Available,http://nysparks.com/parks/160/details.aspx,http://nysparks.com/golf-courses/10/details.aspx,,-76.86772498,42.67319422,"(42.67319421710, -76.86772497930)"
Buttermilk Falls,State Park,4,Tompkins,Golf,Not Available,http://nysparks.com/parks/151/details.aspx,,,-76.51225664,42.40402596,"(42.40402595950, -76.51225663690)"
Canandaigua Lake Marine Park,Marine Facility,4,Ontario,Golf,Not Available,http://nysparks.com/parks/3/details.aspx,,,-77.2756828,42.87666859,"(42.87666859390, -77.27568279700)"
Cayuga Lake,State Park,4,Seneca,Golf,Available,http://nysparks.com/parks/123/details.aspx,,,-76.75531185,42.89795191,"(42.89795190730, -76.75531185020)"
Chimney Bluffs,State Park,4,Wayne,Golf,Not Available,http://nysparks.com/parks/43/details.aspx,,,-76.9170242,43.28094552,"(43.28094551730, -76.91702420280)"
